nohup: ignoring input
logisticRg(
  (lr): Sequential(
    (0): Linear(in_features=784, out_features=10, bias=True)
  )
)
Epoch:  0 | train loss: 2.3364 | test accuracy: 0.2835
Epoch:  0 | train loss: 0.3724 | test accuracy: 0.8704
Epoch:  0 | train loss: 0.2278 | test accuracy: 0.8907
Epoch:  0 | train loss: 0.6362 | test accuracy: 0.8718
Epoch:  0 | train loss: 0.1295 | test accuracy: 0.8895
Epoch:  0 | train loss: 0.3652 | test accuracy: 0.8945
Epoch:  0 | train loss: 0.5186 | test accuracy: 0.8911
Epoch:  0 | train loss: 0.1006 | test accuracy: 0.8963
Epoch:  0 | train loss: 0.1269 | test accuracy: 0.9097
Epoch:  0 | train loss: 0.2200 | test accuracy: 0.9113
Epoch:  0 | train loss: 0.4203 | test accuracy: 0.8995
Epoch:  0 | train loss: 1.0785 | test accuracy: 0.9062
Epoch:  0 | train loss: 0.1780 | test accuracy: 0.9125
Epoch:  0 | train loss: 0.3512 | test accuracy: 0.9080
Epoch:  0 | train loss: 0.4599 | test accuracy: 0.9003
Epoch:  0 | train loss: 0.2816 | test accuracy: 0.8840
Epoch:  0 | train loss: 0.3806 | test accuracy: 0.9130
Epoch:  0 | train loss: 0.3376 | test accuracy: 0.9051
Epoch:  0 | train loss: 0.2100 | test accuracy: 0.9099
Epoch:  0 | train loss: 0.1653 | test accuracy: 0.9137
Epoch:  0 | train loss: 0.3786 | test accuracy: 0.9047
Epoch:  0 | train loss: 0.3661 | test accuracy: 0.9121
Epoch:  0 | train loss: 0.3592 | test accuracy: 0.9010
Epoch:  0 | train loss: 0.2581 | test accuracy: 0.9096
Epoch:  0 | train loss: 0.6804 | test accuracy: 0.9127
Epoch:  0 | train loss: 0.2394 | test accuracy: 0.9061
Epoch:  0 | train loss: 0.3832 | test accuracy: 0.9014
Epoch:  0 | train loss: 0.2138 | test accuracy: 0.9073
Epoch:  0 | train loss: 0.5616 | test accuracy: 0.9137
Epoch:  0 | train loss: 0.3217 | test accuracy: 0.9120
Epoch:  0 | train loss: 0.3227 | test accuracy: 0.9096
Epoch:  0 | train loss: 0.4567 | test accuracy: 0.9117
Epoch:  0 | train loss: 0.5587 | test accuracy: 0.9115
Epoch:  0 | train loss: 0.0925 | test accuracy: 0.9106
Epoch:  0 | train loss: 0.5369 | test accuracy: 0.9047
Epoch:  0 | train loss: 0.6932 | test accuracy: 0.9125
Epoch:  0 | train loss: 0.2600 | test accuracy: 0.9146
Epoch:  0 | train loss: 0.3816 | test accuracy: 0.9116
Epoch:  1 | train loss: 0.5409 | test accuracy: 0.9101
Epoch:  1 | train loss: 0.4754 | test accuracy: 0.9016
Epoch:  1 | train loss: 0.4328 | test accuracy: 0.9134
Epoch:  1 | train loss: 0.1673 | test accuracy: 0.9107
Epoch:  1 | train loss: 0.1607 | test accuracy: 0.9203
Epoch:  1 | train loss: 0.4395 | test accuracy: 0.9034
Epoch:  1 | train loss: 0.1387 | test accuracy: 0.9150
Epoch:  1 | train loss: 0.3445 | test accuracy: 0.9124
Epoch:  1 | train loss: 0.6959 | test accuracy: 0.8980
Epoch:  1 | train loss: 0.4520 | test accuracy: 0.9082
Epoch:  1 | train loss: 0.1416 | test accuracy: 0.9191
Epoch:  1 | train loss: 0.1063 | test accuracy: 0.9155
Epoch:  1 | train loss: 0.3352 | test accuracy: 0.9144
Epoch:  1 | train loss: 0.5914 | test accuracy: 0.9075
Epoch:  1 | train loss: 0.4236 | test accuracy: 0.9116
Epoch:  1 | train loss: 0.1307 | test accuracy: 0.9150
Epoch:  1 | train loss: 0.5435 | test accuracy: 0.9122
Epoch:  1 | train loss: 0.2562 | test accuracy: 0.9154
Epoch:  1 | train loss: 0.2774 | test accuracy: 0.9102
Epoch:  1 | train loss: 0.2412 | test accuracy: 0.9130
Epoch:  1 | train loss: 0.1077 | test accuracy: 0.9048
Epoch:  1 | train loss: 0.7289 | test accuracy: 0.9035
Epoch:  1 | train loss: 0.1655 | test accuracy: 0.9082
Epoch:  1 | train loss: 0.6165 | test accuracy: 0.8935
Epoch:  1 | train loss: 0.2236 | test accuracy: 0.9137
Epoch:  1 | train loss: 0.0955 | test accuracy: 0.9121
Epoch:  1 | train loss: 0.4117 | test accuracy: 0.9047
Epoch:  1 | train loss: 0.5816 | test accuracy: 0.9068
Epoch:  1 | train loss: 0.2745 | test accuracy: 0.9035
Epoch:  1 | train loss: 0.8449 | test accuracy: 0.8989
Epoch:  1 | train loss: 0.1993 | test accuracy: 0.9053
Epoch:  1 | train loss: 0.5144 | test accuracy: 0.9176
Epoch:  1 | train loss: 0.8040 | test accuracy: 0.9050
Epoch:  1 | train loss: 0.0958 | test accuracy: 0.9112
Epoch:  1 | train loss: 0.2060 | test accuracy: 0.9090
Epoch:  1 | train loss: 0.3195 | test accuracy: 0.9188
Epoch:  1 | train loss: 0.2594 | test accuracy: 0.9157
Epoch:  1 | train loss: 0.1464 | test accuracy: 0.9061
Epoch:  2 | train loss: 0.4776 | test accuracy: 0.9065
Epoch:  2 | train loss: 0.2034 | test accuracy: 0.9114
Epoch:  2 | train loss: 0.6506 | test accuracy: 0.9058
Epoch:  2 | train loss: 0.4666 | test accuracy: 0.9057
Epoch:  2 | train loss: 0.4136 | test accuracy: 0.9086
Epoch:  2 | train loss: 0.1136 | test accuracy: 0.9062
Epoch:  2 | train loss: 0.5261 | test accuracy: 0.9120
Epoch:  2 | train loss: 0.2067 | test accuracy: 0.9161
Epoch:  2 | train loss: 0.1536 | test accuracy: 0.9089
Epoch:  2 | train loss: 0.0444 | test accuracy: 0.9144
Epoch:  2 | train loss: 0.0242 | test accuracy: 0.9163
Epoch:  2 | train loss: 0.0702 | test accuracy: 0.9195
Epoch:  2 | train loss: 0.2793 | test accuracy: 0.9177
