nohup: ignoring input
logisticRg(
  (lr): Sequential(
    (0): Linear(in_features=784, out_features=10, bias=True)
  )
)
Epoch:  0 | train loss: 2.2885 | test accuracy: 0.1816
Epoch:  0 | train loss: 1.0426 | test accuracy: 0.8196
Epoch:  0 | train loss: 0.6721 | test accuracy: 0.8424
Epoch:  0 | train loss: 0.5584 | test accuracy: 0.8566
Epoch:  0 | train loss: 0.6039 | test accuracy: 0.8711
Epoch:  0 | train loss: 0.3743 | test accuracy: 0.8785
Epoch:  0 | train loss: 0.4890 | test accuracy: 0.8842
Epoch:  0 | train loss: 0.4018 | test accuracy: 0.8904
Epoch:  0 | train loss: 0.5512 | test accuracy: 0.8937
Epoch:  0 | train loss: 0.4280 | test accuracy: 0.8964
Epoch:  0 | train loss: 0.3753 | test accuracy: 0.8991
Epoch:  0 | train loss: 0.4147 | test accuracy: 0.9022
Epoch:  0 | train loss: 0.2885 | test accuracy: 0.9044
Epoch:  0 | train loss: 0.4096 | test accuracy: 0.9056
Epoch:  0 | train loss: 0.3911 | test accuracy: 0.9039
Epoch:  0 | train loss: 0.1898 | test accuracy: 0.9045
Epoch:  0 | train loss: 0.3997 | test accuracy: 0.9069
Epoch:  0 | train loss: 0.3394 | test accuracy: 0.9091
Epoch:  0 | train loss: 0.4205 | test accuracy: 0.9092
Epoch:  1 | train loss: 0.4600 | test accuracy: 0.9100
Epoch:  1 | train loss: 0.4171 | test accuracy: 0.9114
Epoch:  1 | train loss: 0.2967 | test accuracy: 0.9121
Epoch:  1 | train loss: 0.2798 | test accuracy: 0.9130
Epoch:  1 | train loss: 0.3585 | test accuracy: 0.9141
Epoch:  1 | train loss: 0.3647 | test accuracy: 0.9110
Epoch:  1 | train loss: 0.2729 | test accuracy: 0.9123
Epoch:  1 | train loss: 0.3612 | test accuracy: 0.9130
Epoch:  1 | train loss: 0.3920 | test accuracy: 0.9135
Epoch:  1 | train loss: 0.3956 | test accuracy: 0.9141
Epoch:  1 | train loss: 0.3115 | test accuracy: 0.9145
Epoch:  1 | train loss: 0.2654 | test accuracy: 0.9159
Epoch:  1 | train loss: 0.2686 | test accuracy: 0.9170
Epoch:  1 | train loss: 0.2037 | test accuracy: 0.9174
Epoch:  1 | train loss: 0.3597 | test accuracy: 0.9180
Epoch:  1 | train loss: 0.2550 | test accuracy: 0.9178
Epoch:  1 | train loss: 0.5417 | test accuracy: 0.9158
Epoch:  1 | train loss: 0.2809 | test accuracy: 0.9175
Epoch:  1 | train loss: 0.3495 | test accuracy: 0.9175
Epoch:  2 | train loss: 0.3013 | test accuracy: 0.9191
Epoch:  2 | train loss: 0.3498 | test accuracy: 0.9189
Epoch:  2 | train loss: 0.2004 | test accuracy: 0.9195
Epoch:  2 | train loss: 0.4642 | test accuracy: 0.9187
Epoch:  2 | train loss: 0.3889 | test accuracy: 0.9181
Epoch:  2 | train loss: 0.4162 | test accuracy: 0.9184
Epoch:  2 | train loss: 0.3360 | test accuracy: 0.9187
Epoch:  2 | train loss: 0.3461 | test accuracy: 0.9200
Epoch:  2 | train loss: 0.2005 | test accuracy: 0.9209
Epoch:  2 | train loss: 0.3955 | test accuracy: 0.9219
Epoch:  2 | train loss: 0.1976 | test accuracy: 0.9211
Epoch:  2 | train loss: 0.5255 | test accuracy: 0.9217
Epoch:  2 | train loss: 0.3026 | test accuracy: 0.9193
Epoch:  2 | train loss: 0.4038 | test accuracy: 0.9220
Epoch:  2 | train loss: 0.2328 | test accuracy: 0.9210
Epoch:  2 | train loss: 0.1344 | test accuracy: 0.9213
Epoch:  2 | train loss: 0.1807 | test accuracy: 0.9219
Epoch:  2 | train loss: 0.4342 | test accuracy: 0.9218
Epoch:  2 | train loss: 0.3199 | test accuracy: 0.9207
Epoch:  3 | train loss: 0.3084 | test accuracy: 0.9220
Epoch:  3 | train loss: 0.4088 | test accuracy: 0.9239
Epoch:  3 | train loss: 0.1529 | test accuracy: 0.9211
Epoch:  3 | train loss: 0.2485 | test accuracy: 0.9226
Epoch:  3 | train loss: 0.2220 | test accuracy: 0.9246
Epoch:  3 | train loss: 0.2214 | test accuracy: 0.9222
Epoch:  3 | train loss: 0.1677 | test accuracy: 0.9229
Epoch:  3 | train loss: 0.2661 | test accuracy: 0.9233
