nohup: ignoring input
logisticRg(
  (lr): Sequential(
    (0): Linear(in_features=784, out_features=10, bias=True)
  )
)
Epoch:  2 | train loss: 0.3530 | test accuracy: 0.8971
Epoch:  2 | train loss: 0.5388 | test accuracy: 0.8966
Epoch:  2 | train loss: 0.8229 | test accuracy: 0.8981
Epoch:  2 | train loss: 0.3778 | test accuracy: 0.8981
Epoch:  2 | train loss: 0.3942 | test accuracy: 0.8986
Epoch:  2 | train loss: 0.3821 | test accuracy: 0.8988
Epoch:  2 | train loss: 0.3694 | test accuracy: 0.8998
Epoch:  2 | train loss: 0.3904 | test accuracy: 0.8998
Epoch:  2 | train loss: 0.3206 | test accuracy: 0.8999
Epoch:  2 | train loss: 0.3970 | test accuracy: 0.9006
Epoch:  2 | train loss: 0.2301 | test accuracy: 0.9006
Epoch:  2 | train loss: 0.6043 | test accuracy: 0.9000
Epoch:  2 | train loss: 0.5799 | test accuracy: 0.9008
Epoch:  2 | train loss: 0.2959 | test accuracy: 0.8998
Epoch:  2 | train loss: 0.2883 | test accuracy: 0.9001
Epoch:  2 | train loss: 0.4438 | test accuracy: 0.9009
Epoch:  3 | train loss: 0.2767 | test accuracy: 0.9013
Epoch:  3 | train loss: 0.3302 | test accuracy: 0.9010
Epoch:  3 | train loss: 0.4915 | test accuracy: 0.9009
Epoch:  3 | train loss: 0.3646 | test accuracy: 0.9006
Epoch:  3 | train loss: 0.2341 | test accuracy: 0.9015
Epoch:  3 | train loss: 0.3474 | test accuracy: 0.9012
Epoch:  3 | train loss: 0.5775 | test accuracy: 0.9029
Epoch:  3 | train loss: 0.3570 | test accuracy: 0.9031
Epoch:  3 | train loss: 0.3062 | test accuracy: 0.9033
Epoch:  3 | train loss: 0.3743 | test accuracy: 0.9037
Epoch:  3 | train loss: 0.2339 | test accuracy: 0.9034
Epoch:  3 | train loss: 0.3706 | test accuracy: 0.9033
Epoch:  3 | train loss: 0.3017 | test accuracy: 0.9038
Epoch:  3 | train loss: 0.4925 | test accuracy: 0.9039
Epoch:  3 | train loss: 0.5453 | test accuracy: 0.9047
Epoch:  3 | train loss: 0.5056 | test accuracy: 0.9060
Epoch:  3 | train loss: 0.2626 | test accuracy: 0.9044
Epoch:  3 | train loss: 0.6323 | test accuracy: 0.9029
Epoch:  3 | train loss: 0.5828 | test accuracy: 0.9036
Epoch:  3 | train loss: 0.4068 | test accuracy: 0.9043
Epoch:  3 | train loss: 0.3385 | test accuracy: 0.9058
